accuracy,n_estimators,max_depth,max_feature,min_samples_split,min_samples_leaf,n_comp,dim_red,scaler
0.5400970398586964,313,4,25,39,8,8,ica,mx
0.527555063735609,32,4,24,9,35,14,ica,norm
0.5823796046051373,450,18,29,38,2,11,pca,norm
0.5485527015811538,166,22,25,16,38,12,ica,norm
0.5500117043689217,359,18,24,29,30,15,pca,rb
0.5371790342831606,14,5,4,37,41,9,ica,rb
0.5485527015811538,265,24,24,37,35,2,pca,pt
0.5715958375007981,483,24,8,19,22,14,ica,std
0.5584699197718713,472,14,29,9,19,6,pca,norm
0.5695507650401141,179,24,27,37,22,17,pca,std
0.5573024621736078,165,21,17,9,23,2,pca,rb
0.5870498606116065,138,17,25,4,14,12,ica,rb
0.5476789172394714,14,11,5,19,33,18,pca,pt
0.472143601966334,112,1,14,17,32,3,ica,std
0.5608031325147369,121,20,20,12,28,19,ica,std
0.5438918090698219,318,11,18,18,46,9,pca,std
0.5733425549573322,206,26,29,20,15,12,pca,pt
0.5441765444446809,105,24,14,29,49,19,pca,pt
0.5995888574407864,441,23,10,9,8,14,pca,pt
0.5403864569811241,497,13,10,28,49,17,pca,pt
0.5412610925496371,75,18,27,49,46,11,ica,norm
0.5164729416271202,241,4,3,5,41,17,ica,rb
0.629629503521951,110,22,10,9,1,9,pca,pt
0.5508863399374349,225,23,12,5,26,16,pca,norm
0.5418488646762146,41,6,9,4,40,19,pca,std
0.49780851652444086,294,4,21,42,1,20,ica,pt
0.581218956821519,51,12,28,6,13,9,pca,pt
0.5885054584920517,278,23,20,25,9,11,ica,mx
0.5704228469281352,408,26,11,27,17,17,pca,pt
0.5360200889532039,450,10,2,12,41,15,pca,norm
0.5494281883764977,304,20,11,37,42,9,pca,mx
0.5368900427741482,169,16,11,14,49,19,ica,std
0.583258921921219,198,10,7,9,11,9,pca,std
0.5336834713030155,402,6,19,44,33,6,pca,norm
0.5488463748377348,51,20,30,48,33,13,pca,std
0.5791760124279117,252,8,10,30,3,4,ica,std
0.5520525206954523,181,19,30,30,40,18,pca,mx
0.5237641250452214,442,26,26,43,35,6,ica,pt
0.5567202230214295,252,23,13,17,25,3,ica,norm
0.5885058841054671,294,27,2,28,10,9,ica,mx
0.5500142580494137,290,20,5,26,41,8,pca,std
0.5482620076184801,145,22,2,18,32,5,pca,std
0.4823481092124024,398,3,9,44,49,19,ica,pt
0.5339673554510439,183,10,3,42,5,3,ica,pt
0.5535128003234662,231,12,29,46,32,12,pca,std
0.5564312315124174,153,9,3,6,34,11,pca,mx
0.5599259432657318,203,23,5,42,28,13,pca,mx
0.44327254155050966,249,1,12,6,47,16,pca,rb
0.5418488646762146,376,30,2,18,46,4,pca,mx
0.5240565214615565,410,6,23,24,7,7,ica,pt
0.5447621885041816,109,26,27,44,45,20,ica,std
0.5826762571556255,210,8,23,17,6,6,pca,mx
0.5500104275286757,461,17,12,27,40,11,ica,std
0.5158915537017726,408,4,2,9,8,7,pca,mx
0.5850039369240918,444,10,30,28,3,11,pca,norm
0.5351424740907833,257,15,4,47,45,6,pca,norm
0.5564299546721713,453,8,20,12,29,13,ica,mx
0.5071456236300569,295,28,14,32,41,5,ica,pt
0.5430129173671554,393,13,13,10,44,20,ica,rb
0.5164746440807815,122,14,14,15,34,13,ica,pt
0.5570109169841033,236,6,24,34,22,10,ica,std
0.5395156519333489,261,25,16,3,33,5,pca,norm
0.5616764912430039,482,24,3,26,25,7,pca,rb
0.5587601881211295,318,22,18,46,30,8,ica,std
0.5240569470749717,177,3,12,41,27,14,ica,rb
0.5625519780383478,346,13,21,31,34,17,ica,rb
0.5538009406056479,466,17,20,27,30,4,pca,pt
0.5188070055968164,350,3,8,31,37,8,ica,std
0.5435926028388416,248,17,21,11,38,17,pca,rb
0.5360166840458811,403,12,16,14,41,6,pca,norm
0.6089191547317572,185,14,20,15,6,19,ica,rb
0.5470962524738779,255,10,20,7,27,2,pca,norm
0.5698410333893724,253,27,6,14,21,12,ica,norm
0.5211385158860207,65,16,1,46,21,11,ica,pt
0.5503045263986721,188,8,2,5,23,13,ica,rb
0.5911357493988211,293,17,10,26,10,11,ica,norm
0.6310821221084888,300,21,6,4,5,20,ica,mx
0.5444744738354153,116,6,29,46,38,6,pca,std
0.5395152263199336,215,4,6,43,19,17,ica,rb
0.5441799493520036,46,23,28,14,38,12,ica,std
0.540091506884297,415,18,7,46,49,6,pca,rb
0.47477091357919604,200,1,23,13,5,15,ica,std
0.5905484028856589,31,22,9,17,4,12,ica,mx
0.5605103104849865,383,11,12,34,23,17,pca,rb
0.5721772254261455,376,7,10,38,19,10,ica,rb
0.5336800663956927,366,28,1,50,38,6,ica,std
0.5768402460045541,493,13,15,17,17,11,ica,norm
