accuracy,C,kernel,degree,n_comp,dim_red,scaler
0.571594560660552,5.7,rbf,4,8,ica,mx
0.5715932838203059,9.299999999999999,rbf,8,16,ica,std
0.5710106190547127,8.799999999999999,rbf,8,3,ica,mx
0.5663429167287353,5.6,rbf,2,11,pca,rb
0.5654687067736376,6.500000000000001,rbf,7,11,pca,rb
0.5724683450022345,9.4,rbf,5,3,ica,rb
0.5715962631142133,5.0,rbf,1,9,ica,rb
0.5721780766529762,7.000000000000001,rbf,8,3,ica,mx
0.5724683450022345,9.4,rbf,5,3,ica,rb
0.5167627843629632,1.5,linear,4,19,ica,mx
0.516471664786874,9.6,linear,9,13,ica,rb
0.49256155434019283,4.2,rbf,10,6,pca,norm
0.4208205826647656,9.9,sigmoid,6,11,pca,pt
0.5170543295524676,1.0,linear,1,10,ica,rb
0.47505777702113167,5.8,poly,10,6,ica,norm
0.5284267200102147,8.6,poly,4,15,ica,mx
0.5397995360813773,4.8,poly,6,12,pca,std
0.4537681683726671,0.8,sigmoid,10,6,ica,norm
0.5179251346002426,2.6,poly,6,13,ica,std
0.4190674810070013,3.5,sigmoid,3,13,ica,std
0.3960362622629865,0.8,sigmoid,8,9,pca,norm
0.516471664786874,5.4,linear,8,17,ica,std
0.39749015768977036,10.0,sigmoid,9,7,ica,pt
0.5468008767636355,6.8999999999999995,rbf,2,11,ica,pt
0.42752058904896684,4.1000000000000005,sigmoid,4,3,pca,std
0.44327254155050966,9.2,linear,10,15,pca,norm
0.42169479261986337,8.799999999999999,sigmoid,6,15,pca,pt
0.5004294439360729,4.3,poly,10,12,ica,mx
0.4149871251941861,2.8,sigmoid,5,20,ica,mx
0.5596352493030581,2.8,rbf,2,11,ica,norm
0.41557276925368686,5.5,sigmoid,9,8,ica,std
0.5147223936498478,0.5,linear,9,18,ica,norm
0.5628409695473602,8.2,rbf,5,15,pca,rb
0.41528335213125916,0.1,sigmoid,3,13,pca,norm
0.4587295439552254,6.500000000000001,poly,5,10,pca,norm
0.5619710157264157,7.4,rbf,6,10,ica,norm
0.38727203081441125,5.1000000000000005,sigmoid,9,7,pca,mx
0.5188061543699857,1.4,linear,6,14,pca,mx
0.4009899768040689,8.0,sigmoid,6,3,pca,rb
0.4750582026345471,0.30000000000000004,sigmoid,1,18,ica,rb
0.5112178927879807,7.000000000000001,poly,8,8,ica,std
0.5018918516311633,0.1,sigmoid,10,13,ica,rb
0.5325075014364453,8.2,poly,6,6,pca,pt
0.5628409695473602,8.2,rbf,5,15,pca,rb
0.5622625609159201,7.4,rbf,6,10,ica,norm
0.5599267944925624,2.8,rbf,2,11,ica,norm
0.5482594539379881,6.8999999999999995,rbf,2,11,ica,pt
0.5397995360813773,4.8,poly,6,12,pca,std
0.5325075014364453,8.2,poly,6,6,pca,pt
0.5284267200102147,8.6,poly,4,15,ica,mx
0.5188061543699857,1.4,linear,6,14,pca,mx
0.5179251346002426,2.6,poly,6,13,ica,std
0.5170543295524676,1.0,linear,1,10,ica,rb
0.5167627843629632,1.5,linear,4,19,ica,mx
0.5628409695473602,8.2,rbf,5,15,pca,rb
0.5622625609159201,7.4,rbf,6,10,ica,norm
0.5599267944925624,2.8,rbf,2,11,ica,norm
0.5628409695473602,8.2,rbf,5,15,pca,rb
0.4324887744461705,2.9,sigmoid,1,7,pca,pt
0.5584720478389479,2.8,rbf,5,14,pca,rb
0.44939584175693215,0.9000000000000001,sigmoid,3,11,ica,norm
0.5109318805728756,3.8000000000000003,poly,6,6,pca,rb
0.5144304228469282,9.0,linear,3,13,ica,norm
0.5581788001957821,3.5,rbf,4,3,ica,norm
0.4161516034985423,5.8,sigmoid,10,2,pca,std
0.4811844821348769,0.7000000000000001,poly,6,10,pca,rb
0.5182213615373156,7.699999999999999,linear,4,19,pca,mx
0.527846183311698,7.8,poly,7,11,ica,mx
0.41236151603498544,8.6,sigmoid,1,8,ica,std
0.5616811729905727,1.0,rbf,5,15,ica,rb
0.46164414462343856,6.699999999999999,poly,3,18,pca,norm
0.4870196420591177,1.1,rbf,1,9,pca,norm
0.49197463344044606,2.5,poly,2,17,pca,std
0.5616811729905727,1.0,rbf,5,15,ica,rb
0.5584720478389479,2.8,rbf,5,14,pca,rb
0.5581788001957821,3.5,rbf,4,3,ica,norm
0.527846183311698,7.8,poly,7,11,ica,mx
0.5182213615373156,7.699999999999999,linear,4,19,pca,mx
0.5616811729905727,1.0,rbf,5,15,ica,rb
0.5736349513736674,9.5,rbf,4,3,ica,mx
