accuracy,n_estimators,learning_rate,max_depth,min_samples_split,min_samples_leaf,n_comp,dim_red,scaler
0.5853082505160563,415,0.302020202020202,7,46,49,6,pca,rb
0.6220446468472687,200,0.014949494949494952,23,13,5,15,ica,std
0.6135872826711498,31,0.3663636363636364,9,17,4,12,ica,mx
0.6162150198974272,383,0.18323232323232325,12,34,23,17,pca,rb
0.6100874635568513,376,0.11888888888888888,10,38,19,10,ica,rb
0.518225617671469,366,0.4604040404040404,1,50,38,6,ica,std
0.3114332531761401,493,0.2178787878787879,15,17,17,11,ica,norm
0.5966746823859889,33,0.4901010101010101,28,48,47,6,pca,norm
0.6302130195143751,163,0.014949494949494952,10,36,5,18,ica,norm
0.6010487114553851,77,0.306969696969697,8,37,10,2,pca,rb
0.592004000766104,78,0.21292929292929294,4,30,8,11,ica,rb
0.612709242195314,375,0.306969696969697,28,12,45,2,ica,norm
0.5800476687025176,146,0.07929292929292929,3,47,45,13,pca,std
0.6214560234938605,402,0.40595959595959596,25,45,1,15,pca,pt
0.5379732289161755,326,0.41090909090909095,30,48,28,11,ica,rb
0.6220433700070227,430,0.0396969696969697,27,30,5,12,pca,norm
0.6036687876401864,60,0.2673737373737374,8,49,33,12,ica,rb
0.6331250665020962,432,0.049595959595959596,12,37,49,17,pca,std
0.471313655806431,500,0.2723232323232323,28,22,24,14,pca,std
0.6310855270158114,25,0.14363636363636362,20,47,6,14,pca,std
0.5619629290715243,268,0.2624242424242424,2,35,42,18,ica,rb
0.5319282415781745,394,0.02484848484848485,1,14,36,19,ica,mx
0.612709242195314,253,0.2475757575757576,9,4,22,4,ica,std
0.612421953139963,442,0.17828282828282827,14,25,3,4,ica,std
0.6191262156583176,20,0.16838383838383839,24,35,4,4,pca,pt
0.6229188568023665,269,0.11393939393939394,24,7,1,11,pca,std
0.44091294077589327,497,0.3614141414141414,25,22,15,2,pca,std
0.6342946521674364,198,0.17333333333333334,7,9,11,9,pca,std
0.6331250665020962,432,0.049595959595959596,12,37,49,17,pca,std
0.6310855270158114,25,0.14363636363636362,20,47,6,14,pca,std
0.627002191909089,163,0.014949494949494952,10,36,5,18,ica,norm
0.62991423889681,116,0.09414141414141414,29,46,38,6,pca,std
0.6281705007341831,51,0.20303030303030303,28,6,13,9,pca,pt
0.6229188568023665,269,0.11393939393939394,24,7,1,11,pca,std
0.6223327871294503,210,0.12878787878787878,23,17,6,6,pca,mx
0.6278738481836947,200,0.014949494949494952,23,13,5,15,ica,std
0.6220433700070227,430,0.0396969696969697,27,30,5,12,pca,norm
0.6214607052414293,231,0.19808080808080808,29,46,32,12,pca,std
0.6214560234938605,402,0.40595959595959596,25,45,1,15,pca,pt
0.6112519418612073,236,0.09414141414141414,24,34,22,10,ica,std
0.6191262156583176,20,0.16838383838383839,24,35,4,4,pca,pt
0.6112506650209616,350,0.049595959595959596,8,31,37,8,ica,std
0.6182524313166351,444,0.15848484848484848,30,28,3,11,pca,norm
0.6179625885807921,402,0.0891919191919192,19,44,33,6,pca,norm
0.6176723202315337,248,0.2723232323232323,21,11,38,17,pca,rb
0.6234951373667298,177,0.04464646464646464,12,41,27,14,ica,rb
0.6235023727947906,252,0.13373737373737374,10,30,3,4,ica,std
0.6162150198974272,383,0.18323232323232325,12,34,23,17,pca,rb
0.6150471366857484,257,0.25252525252525254,4,47,45,6,pca,norm
0.622914600668213,215,0.0693939393939394,6,43,19,17,ica,rb
0.6095035219510119,393,0.207979797979798,13,10,44,20,ica,rb
0.6080419654827519,31,0.3663636363636364,9,17,4,12,ica,mx
0.6130054691323871,403,0.1881818181818182,16,14,41,6,pca,norm
0.5570219829329022,375,0.306969696969697,28,12,45,2,ica,norm
0.6342946521674364,198,0.17333333333333334,7,9,11,9,pca,std
0.6331250665020962,432,0.049595959595959596,12,37,49,17,pca,std
0.6310855270158114,25,0.14363636363636362,20,47,6,14,pca,std
0.62991423889681,116,0.09414141414141414,29,46,38,6,pca,std
0.6281705007341831,51,0.20303030303030303,28,6,13,9,pca,pt
0.618248600795897,200,0.014949494949494952,23,13,5,15,ica,std
0.6162133174437658,163,0.014949494949494952,10,36,5,18,ica,norm
0.6153361281947607,252,0.13373737373737374,10,30,3,4,ica,std
0.6188325424017365,177,0.04464646464646464,12,41,27,14,ica,rb
